age,money,salary,financial_products
84,206000000,61100000,372
94,34000000,45100000,236
8,14000000,69900000,442
91,37000000,49900000,186
66,397000000,70200000,476
1,888000000,98800000,329
10,524000000,86500000,143
45,274000000,48100000,114
15,393000000,27400000,248
81,845000000,38000000,367
71,78000000,72400000,201
14,952000000,51000000,347
45,172000000,24700000,353
96,695000000,87100000,143
79,535000000,95000000,21
68,987000000,93100000,283
92,280000000,98900000,43
67,138000000,26400000,197
87,796000000,91400000,59
4,612000000,55100000,257
35,994000000,56700000,66
47,298000000,72200000,211
9,161000000,25800000,450
11,671000000,88300000,88
54,765000000,30400000,414
49,953000000,53800000,256
12,369000000,86100000,456
78,61000000,65500000,110
49,868000000,63400000,157
39,979000000,37200000,349
1,411000000,37600000,198
31,560000000,55100000,470
33,474000000,98800000,150
83,341000000,83800000,29
51,501000000,73400000,327
22,451000000,50400000,355
32,522000000,85600000,434
65,322000000,38100000,265
80,519000000,24100000,386
14,86000000,84200000,440
80,887000000,28100000,116
13,166000000,27600000,372
56,808000000,46000000,453
63,17000000,78500000,395
22,994000000,52500000,343
68,981000000,61700000,46
15,255000000,41200000,332
88,780000000,35200000,356
81,392000000,97400000,397
15,329000000,99100000,108
49,235000000,93700000,372
65,551000000,90800000,17
22,18000000,48600000,412
99,921000000,39200000,182
96,916000000,29800000,179
5,17000000,48000000,127
84,48000000,34800000,221
67,926000000,89500000,120
97,6000000,57700000,270
29,434000000,63500000,257
33,704000000,67500000,86
97,685000000,25000000,157
67,760000000,31200000,58
16,433000000,57800000,391
32,283000000,69000000,367
74,401000000,55200000,79
80,407000000,72700000,400
67,163000000,61400000,351
26,84000000,68000000,158
63,632000000,47500000,384
57,128000000,72200000,308
43,817000000,33200000,140
80,130000000,42400000,412
92,618000000,28600000,349
12,1000000,30400000,192
3,885000000,37800000,384
42,845000000,96900000,372
88,915000000,98700000,213
50,17000000,50900000,292
71,391000000,91200000,419
5,521000000,59300000,230
55,649000000,74400000,147
10,51000000,58500000,102
65,842000000,75100000,418
37,503000000,76800000,236
7,429000000,43200000,146
53,155000000,64200000,229
67,217000000,91700000,356
17,531000000,58600000,343
72,767000000,65200000,128
89,0,55000000,147
42,959000000,79200000,456
28,585000000,98800000,270
40,413000000,46300000,38
71,763000000,99100000,252
49,558000000,87400000,101
37,283000000,99600000,308
99,397000000,48900000,388
93,768000000,93000000,300
94,375000000,41800000,209
59,830000000,85100000,382
23,123000000,69400000,143
87,99000000,77200000,49
98,835000000,42600000,101
16,477000000,84500000,454
53,27000000,70700000,36
95,97000000,60500000,90
38,948000000,59700000,102
96,257000000,69600000,274
34,709000000,25400000,208
95,673000000,49400000,111
56,416000000,40700000,318
37,971000000,66300000,228
77,883000000,47000000,20
59,435000000,54500000,351
52,476000000,81600000,293
29,576000000,76700000,435
22,622000000,77300000,361
6,715000000,81000000,304
25,984000000,67800000,388
1,104000000,76700000,170
83,104000000,37100000,85
48,371000000,25700000,213
58,639000000,45000000,319
88,697000000,95400000,62
24,444000000,38800000,358
36,273000000,83800000,153
60,850000000,50800000,388
3,510000000,24400000,475
63,985000000,74700000,26
66,45000000,60100000,252
88,957000000,57400000,112
64,199000000,57100000,231
6,546000000,87900000,30
69,137000000,51500000,264
75,714000000,58200000,356
41,611000000,48100000,203
21,995000000,30900000,287
3,906000000,46600000,335
100,704000000,67700000,269
66,113000000,79400000,449
68,69000000,49500000,157
52,691000000,78200000,69
89,482000000,66500000,320
4,656000000,71800000,174
48,81000000,36300000,431
39,248000000,37100000,149
19,446000000,58500000,396
12,778000000,52000000,361
12,980000000,42100000,374
87,651000000,77000000,115
26,68000000,94600000,185
58,568000000,36500000,296
14,357000000,64100000,45
92,748000000,98500000,187
19,874000000,75100000,187
20,859000000,41100000,42
19,654000000,70100000,158
1,323000000,59500000,8
40,280000000,26300000,61
85,412000000,47400000,207
37,695000000,27200000,374
17,206000000,46400000,70
85,184000000,46000000,42
27,160000000,58400000,381
91,557000000,43300000,232
26,652000000,67100000,476
29,855000000,50500000,375
2,705000000,40500000,401
10,939000000,39400000,27
81,441000000,62000000,50
90,144000000,94600000,104
43,885000000,66200000,26
64,299000000,25900000,455
35,289000000,34400000,403
96,877000000,53100000,469
46,337000000,75400000,334
65,640000000,86900000,415
91,247000000,85400000,280
25,520000000,52800000,438
36,657000000,44900000,243
51,244000000,58300000,365
78,936000000,68900000,271
9,626000000,48300000,148
59,206000000,47800000,264
69,163000000,39100000,224
55,286000000,57400000,359
64,596000000,54900000,174
22,121000000,72900000,245
40,844000000,69700000,251
100,974000000,50300000,95
98,417000000,35800000,96
16,62000000,72600000,57
90,175000000,71000000,211
31,250000000,66500000,346
42,947000000,70500000,242
39,815000000,89100000,442
43,176000000,57900000,217
24,948000000,52800000,295
78,962000000,74400000,433
27,184000000,93900000,231
8,582000000,84600000,266
89,930000000,50000000,276
42,461000000,34200000,249
88,651000000,79500000,211
67,661000000,37000000,206
23,546000000,24000000,146
26,716000000,52600000,367
81,905000000,79000000,115
22,901000000,65900000,278
22,918000000,27900000,15
60,921000000,42500000,70
23,185000000,81600000,148
93,723000000,43800000,156
79,213000000,95200000,129
19,798000000,73600000,444
89,475000000,96800000,411
22,596000000,45700000,168
95,800000000,89200000,330
79,846000000,57300000,179
16,650000000,36500000,12
22,30000000,72900000,473
19,9000000,44100000,282
68,288000000,75300000,462
37,615000000,82800000,105
50,337000000,29600000,337
42,903000000,33300000,78
61,183000000,83400000,57
32,127000000,44700000,180
95,989000000,38400000,219
26,49000000,84700000,471
5,179000000,83000000,284
24,98000000,30300000,311
44,599000000,67300000,409
40,743000000,52300000,250
80,283000000,31200000,187
17,707000000,90700000,376
40,182000000,53600000,6
33,664000000,84900000,273
99,510000000,94200000,153
54,612000000,76900000,345
74,282000000,50800000,286
99,381000000,87700000,3
53,883000000,76400000,80
67,432000000,58500000,398
63,216000000,40200000,74
56,433000000,64300000,256
11,748000000,36800000,76
96,506000000,25100000,111
66,971000000,45000000,72
50,597000000,36500000,344
63,227000000,82800000,19
49,315000000,26700000,419
49,217000000,59900000,297
87,275000000,79200000,194
32,651000000,32100000,114
88,364000000,75300000,230
45,939000000,66600000,60
48,542000000,37200000,78
5,612000000,40300000,61
99,381000000,26000000,451
71,226000000,56200000,237
72,786000000,97100000,463
99,677000000,44900000,253
53,591000000,28000000,407
4,856000000,34300000,278
29,992000000,72800000,136
41,679000000,97100000,149
36,573000000,52400000,45
78,26000000,33700000,70
86,399000000,58600000,336
86,830000000,46100000,374
30,693000000,82700000,439
2,729000000,80600000,404
90,806000000,61600000,455
2,574000000,64900000,340
89,761000000,38000000,110
66,570000000,81900000,72
26,723000000,48500000,95
23,119000000,90300000,61
73,335000000,90500000,400
11,164000000,45100000,336
77,656000000,25300000,322
16,618000000,66600000,348
40,950000000,68900000,422
63,97000000,82600000,224
29,643000000,95100000,68
11,602000000,28500000,335
30,861000000,41300000,30
31,916000000,25500000,26
15,864000000,60800000,106
93,215000000,68500000,17
37,579000000,32200000,120
9,744000000,26600000,38
56,374000000,47800000,60
70,255000000,85700000,203
88,67000000,99900000,293
12,944000000,92400000,6
5,197000000,84800000,151
59,291000000,80100000,281
29,766000000,48600000,364
19,307000000,78200000,460
79,403000000,45800000,97
68,431000000,95500000,306
86,452000000,92200000,384
34,759000000,69700000,268
58,804000000,24700000,244
75,369000000,64600000,69
79,302000000,59700000,123
70,271000000,29900000,169
15,540000000,96700000,65
31,795000000,32200000,446
91,564000000,60600000,56
29,414000000,92900000,429
7,844000000,89900000,247
96,435000000,56200000,108
35,534000000,36300000,88
56,87000000,89900000,396
15,287000000,35300000,467
90,492000000,78400000,38
4,37000000,98000000,452
43,527000000,98100000,145
94,69000000,58100000,169
77,401000000,69800000,402
8,348000000,40600000,67
36,462000000,72400000,465
13,421000000,64100000,177
61,233000000,47700000,18
21,995000000,98400000,393
42,502000000,33100000,180
82,417000000,55500000,246
85,70000000,90100000,358
64,593000000,96100000,294
90,454000000,48700000,92
9,150000000,37400000,162
99,315000000,32200000,322
27,741000000,80700000,93
